year,S.p.,P.c.
0,2,2
2,12,6
3,49,13
4,57,27
5,71,43
6,50,63
7,43,103
8,39,119
9,37,105
10,41,141
11,29,137
12,41,133
13,34,108
14,31,125
15,21,151
16,18,155
17,17,127
18,8,147
19,16,146
